Low,High
855903521,860097825
723918150,728112454
1260709239,1263937057
281077675,285271979
464758538,468952842
1115814209,1120008513
1040644419,1044838723
872696790,876891094
1936701273,1940895577
670843202,675037506
974886064,979080368
1345331699,1349526003
1833100307,1837294611
1416623949,1420818253
1105805430,1109999734
1498910590,1503104894
303298302,307492606
647677186,651871490
234515722,238710026
231733685,235927989
193820554,198014858
403802727,407997031
687151730,691346034
454809462,459003766
276115348,280309652
1384864324,1389058628
341802519,345996823
979290231,983484535
800485305,804679609
1603804829,1607999133
979248360,983442664
2103740297,2107934601
652650634,656844938
903935353,908129657
505035475,509229779
835062666,839256970
1743839114,1748033418
832652821,836847125
1184912871,1189107175
1779669042,1783863346
595813125,600007429
634502728,638697032
943456178,947650482
89895473,94089777
684462838,688657142
334104063,338298367
849171459,853365763
1294895513,1299089817
1614222776,1618417080
922479077,926673381
654347140,658541444
192834968,197029272
1184653275,1188847579
849099816,853294120
785387186,789581490
126323535,130517839
353305789,357500093
596779044,600973348
773150678,777344982
2067515431,2071709735
27842304,32036608
1237575411,1241769715
868092603,872286907
31187344,35381648
1072259388,1076453692
941370895,945565199
418741546,422935850
878130006,882324310
1470850330,1475044634
227455291,231649595
279084470,283278774
136345317,140539621
69398575,73592879
786965594,791159898
1225516118,1229710422
628599665,632793969
474876580,479070884
400099832,404294136
106256778,110451082
1304042587,1308236891
269151035,273345339
1273828620,1278022924
573488248,577682552
376746608,380940912
731438852,735633156
1413862344,1418056648
1518292599,1522486903
922924697,927119001
868403588,872597892
729288565,733482869
266806674,271000978
1714746629,1718940933
393944454,398138758
232358574,236552878
9420972,13615276
1176268557,1180462861
41745577,45939881
388158575,392352879
605188856,609383160
1292343358,1296537662
59772506,63966810
1181904334,1186098638
1945104316,1949298620
696488014,700682318
87397464,91591768
578781878,582976182
428541437,432735741
97637348,101831652
516384182,520578486
162079870,166274174
497355878,501550182
436153914,440348218
1115416814,1119611118
367418998,371613302
961414082,965608386
610041152,614235456
183007323,187201627
108686897,112881201
471850725,476045029
991870337,996064641
42261968,46456272
314355827,318550131
352749111,356943415
159534615,163728919
710761501,714955805
1309640949,1313835253
728187313,732381617
527149994,531344298
255830680,260024984
322090239,326284543
834855513,839049817
90330495,94524799
1908578710,1912773014
973036509,977230813
199963598,204157902
389140832,393335136
235370476,239564780
755802357,759996661
283304575,287498879
966859009,971053313
178533685,182727989
1105659335,1109853639
165344744,169539048
740187024,744381328
1158120680,1162314984
36803657,40997961
1797408995,1801603299
188673390,192867694
659303945,663498249
62478858,66673162
343425080,347619384
1222386736,1226581040
1830829964,1835024268
120020357,124214661
956565205,960759509
563008340,567202644
706794801,710989105
830719707,834914011
450165254,454359558
197051464,201245768
227841394,232035698
1114817511,1119011815
922856807,927051111
840324954,844519258
1418352442,1422546746
484198626,488392930
634103166,638297470
133224609,137418913
152142608,156336912
1030536219,1034730523
967687749,971882053
914947674,919141978
456386045,460580349
1145239709,1149434013
1192226380,1196420684
1032168727,1036363031
324728344,328922648
1269922468,1274116772
139159951,143354255
1238550060,1242744364
533917817,538112121
562399508,566593812
145305190,149499494
489626021,493820325
573262402,577456706
1546940012,1551134316
391076333,395270637
711684151,715878455
755253223,759447527
1469032657,1473226961
119269914,123464218
1827849837,1832044141
1506350179,1510544483
696869140,701063444
139158430,143352734
620061229,624255533
1459708997,1463903301
1294163041,1298357345
852551382,856745686
143984533,148178837
36459849,40654153
90727215,94921519
177726046,181920350
1320736780,1324931084
1331765861,1335960165
1429304013,1433498317
461645900,465840204
1909421814,1913616118
2047237343,2051431647
735378956,739573260
1598341520,1602535824
572197405,576391709
1306375119,1310569423
31793598,35987902
70608312,74802616
749260848,753455152
1212958458,1217152762
834459809,838654113
717979177,722173481
495710669,499904973
715335814,719530118
167814150,172008454
384266949,388461253
310719966,310882087
118201253,122395557
329112049,333306353
538671175,542865479
27336322,31530626
1753900415,1758094719
220679913,224874217
767603419,771797723
137574727,141769031
175700305,179894609
3745948,7940252
18330263,22524567
1332221248,1336415552
507831917,512026221
136710019,140904323
290111547,294305851
1736499523,1740693827
48980344,53174648
78438790,82633094
1632253444,1636447748
263124132,267318436
240338392,244532696
135859151,140053455
59085998,63280302
604265155,608459459
314985163,319179467
499821247,504015551
463412351,467606655
574141374,578335678
608816533,613010837
1168132439,1172326743
79523026,83717330
867909073,872103377
346882043,351076347
207979072,212173376
945817094,950011398
893930269,898124573
432554761,436749065
1081508345,1085702649
1647704909,1651899213
147847624,152041928
537572183,541766487
287745512,291939816
82802292,86996596
519408846,523603150
617988246,622182550
541406505,545600809
718349620,722543924
1786647346,1790841650
31166583,35360887
627246312,631440616
883910493,888104797
154663240,158857544
552576526,556770830
509985101,514179405
345240100,349434404
766427022,770621326
1118743242,1122937546
1203106660,1207300964
784497182,788691486
881633766,885828070
537018698,541213002
912621112,916815416
628843542,633037846
260690326,264884630
637381108,641575412
1703555677,1707749981
725100522,729294826
1034774538,1038968842
1264751513,1268945817
346239224,350433528
989269880,993464184
267641192,271835496
605624599,609818903
1081249985,1085444289
1128364421,1132558725
131614289,135808593
753239865,757434169
1500432368,1504626672
632418045,636612349
49725201,53919505
957487437,961681741
540881616,545075920
681027635,685221939
1826004974,1830199278
1186873426,1191067730
542990906,547185210
333147456,337341760
1340000671,1344194975
50730897,54925201
734598976,738793280
591640436,595834740
901585125,905779429
453759738,457954042
998500278,1002694582
1541212468,1545406772
1040840504,1045034808
28372450,32566754
214145488,218339792
338547101,342741405
1906901044,1911095348
915114195,919308499
942771494,946965798
227397072,231591376
504627355,508821659
1976184294,1980378598
293403655,297597959
906223843,910418147
1118061622,1122255926
9139543,13333847
1841334595,1845528899
815205497,819399801
306706791,310901095
1584887022,1589081326
194522605,198716909
1424287899,1428482203
404094023,408288327
417356892,421551196
277929469,282123773
470577362,474771666
123663915,127858219
28953335,33147639
578141423,582335727
1309895999,1314090303
623311678,627505982
1213602887,1217797191
365846113,370040417
133048927,137243231
962406913,966601217
1146085481,1150279785
369043899,373238203
571905121,576099425
588222194,592416498
461891520,466085824
333911892,338106196
277209083,281403387
612432634,616626938
1108462098,1112656402
287497947,291692251
19682517,23876821
