Low,High
209558960,213753264
744849978,749044282
764462853,768657157
26900176,31094480
1007734554,1011928858
24776116,28970420
699825879,704020183
982930988,987125292
244179934,248374238
260921173,265115477
655574911,659769215
507423507,511617811
681752564,685946868
334361612,338555916
332919537,337113841
1245884970,1250079274
1591240911,1595435215
176781439,180975743
534382831,538577135
276298987,280493291
1205795457,1209989761
501506690,505700994
842266830,846461134
317976701,322171005
644001290,648195594
675411201,679605505
4692686,8886990
1433804445,1437998749
852638121,856832425
922714129,926908433
1564107805,1568302109
1469984154,1474178458
464164744,468359048
268555117,272749421
860536624,864730928
924612336,928806640
654963919,659158223
269572428,273766732
463996198,468190502
454069897,458264201
1566821580,1571015884
386517554,390711858
1552810417,1557004721
87671399,91865703
133551760,137746064
281713321,285907625
1091094100,1095288404
321259745,325454049
530888409,535082713
1357929653,1362123957
594531168,598725472
1221526393,1225720697
1139603472,1143797776
758055969,762250273
129293515,133487819
1917878500,1922072804
220349139,224543443
305301564,309495868
1480046743,1484241047
583511791,587706095
488429163,492623467
583994889,588189193
931809290,936003594
1084184377,1088378681
1081005768,1085200072
1043470596,1047664900
457399201,461593505
793382179,797576483
592613748,596808052
657134226,661328530
1150805017,1154999321
220934629,225128933
141405683,145599987
659355938,663550242
856598120,860792424
127099090,131293394
217646161,221840465
886954885,891149189
765647405,769841709
463372358,467566662
231608029,235802333
173680494,177874798
1002226081,1006420385
1281962301,1286156605
33787224,37981528
1035023750,1039218054
438635234,442829538
355361605,359555909
199898111,204092415
1473941658,1478135962
917504043,921698347
821008874,825203178
945495519,949689823
687000464,691194768
414688291,418882595
459698560,463892864
570657569,574851873
559329916,563524220
1060969438,1065163742
1606113537,1610307841
639407002,643601306
90161916,94356220
547872428,552066732
160214303,164408607
705102310,709296614
320713212,324907516
1298273594,1302467898
558873908,563068212
1093912043,1098106347
654444034,658638338
236349465,240543769
753767055,757961359
872860127,877054431
1456853186,1461047490
1101764320,1105958624
41151492,45345796
632018129,636212433
224542822,228737126
363628814,367823118
820641650,824835954
127909872,132104176
1366495262,1370689566
1154645774,1158840078
1505654724,1509849028
315334011,319528315
513857021,518051325
1390604779,1394799083
18524161,22718465
510468099,514662403
63123111,67317415
154536230,158730534
733238838,737433142
1401705858,1405900162
291915777,296110081
1379982685,1384176989
1087706551,1091900855
623679236,627873540
1061305983,1065500287
416410542,420604846
234988645,239182949
145141881,149336185
862993737,867188041
496791563,500985867
199570112,203764416
738702136,742896440
706074528,710268832
973871979,978066283
896343985,900538289
197360857,201555161
953173143,957367447
917038406,921232710
201778594,205972898
730331651,734525955
398111244,402305548
1499164681,1503358985
231856001,236050305
916177113,920371417
5944456,10138760
1118717179,1122911483
566336718,570531022
249940324,254134628
502668305,506862609
1046999462,1051193766
347278957,351473261
891551330,895745634
654608959,658803263
567456617,571650921
22216851,26411155
542702264,546896568
991477454,995671758
14150052,18344356
791482578,795676882
1223888281,1228082585
350850470,355044774
200628860,204823164
393440025,397634329
33395842,37590146
224990264,229184568
1198897426,1203091730
226677294,230871598
1735080659,1739274963
46751361,50945665
1694164899,1698359203
868251921,872446225
127848808,132043112
728928250,733122554
1114268906,1118463210
1579186617,1583380921
177842300,182036604
786086707,790281011
357395372,361589676
714215405,718409709
365757641,369951945
14744320,18938624
1242616226,1246810530
123149466,127343770
223424186,227618490
768419172,772613476
1806616825,1810811129
409826704,414021008
1652015789,1656210093
1011725229,1015919533
1984684961,1988879265
132582331,136776635
1388022923,1392217227
890412558,894606862
577449192,581643496
503767684,507961988
287437433,291631737
40760475,44954779
1302576122,1306770426
1424600821,1428795125
697167535,701361839
143988169,148182473
1545892789,1550087093
754653298,758847602
107588948,111783252
37366271,41560575
846777742,850972046
1220205221,1224399525
778192453,782386757
692839979,697034283
675645974,679840278
81608307,85802611
1449422526,1453616830
1586014157,1590208461
956340045,960534349
477535725,481730029
88685729,92880033
1026330751,1030525055
192343585,196537889
1461459408,1465653712
1897069985,1901264289
861614714,865809018
1232129975,1236324279
1248369609,1252563913
623909436,628103740
1212706351,1216900655
536933265,541127569
323343723,327538027
436482607,440676911
1212402822,1216597126
283597973,287792277
8762089,12956393
1707021005,1711215309
1048398759,1052593063
532481464,536675768
26041837,30236141
501806066,506000370
1027578752,1031773056
1178365846,1182560150
637759605,641953909
6574572,10768876
1445822817,1450017121
1513576988,1517771292
89726828,93921132
175016226,179210530
355335886,359530190
1535706727,1539901031
619479459,623673763
1027312241,1031506545
115101898,119296202
776538295,780732599
193540760,197735064
5059356,9253660
1030832061,1035026365
954516889,958711193
3237614,7431918
984651389,988845693
325118604,329312908
583952088,588146392
53996827,58191131
871318881,875513185
150826089,155020393
1506065310,1510259614
288771325,292965629
1982566886,1986761190
69270016,73464320
1512018202,1516212506
322328000,326522304
378492123,382686427
1829739851,1833934155
348545259,352739563
970188360,974382664
51811276,56005580
74326102,78520406
460347856,464542160
360553560,364747864
295327078,299521382
977711245,981905549
328170052,332364356
15076485,19270789
1493002316,1497196620
1046491419,1050685723
688358491,692552795
1183566914,1187761218
144667583,148861887
133414301,137608605
870758912,874953216
54866792,59061096
966058051,970252355
692007971,696202275
86826194,91020498
1028706933,1032901237
1538259269,1542453573
1885935636,1890129940
598780489,602974793
1385754115,1389948419
968374857,972569161
628986923,633181227
650520846,654715150
570454529,574648833
94591692,98785996
166237054,170431358
1517550,5711854
1554481640,1558675944
146950165,151144469
1285986129,1290180433
1779555391,1783749695
575783920,579978224
1453993604,1458187908
77408353,81602657
1786074727,1790269031
40864004,45058308
1120817053,1125011357
93010174,97204478
9265554,13459858
95895453,100089757
240510129,244704433
550039987,554234291
678856549,683050853
1480084472,1484278776
732642690,736836994
45664777,49859081
40146798,44341102
568398564,572592868
963490338,967684642
485839334,490033638
584605513,588799817
1248031258,1252225562
240961881,245156185
95306544,99500848
86775058,90969362
383497038,387691342
1021069132,1025263436
97937783,102132087
69677154,73871458
99236915,103431219
319256940,323451244
185032633,189226937
1743075151,1747269455
701144813,705339117
1029247164,1033441468
444299357,448493661
583480540,587674844
1850385263,1854579567
1705157382,1709351686
424133567,428327871
321265378,325459682
317470638,321664942
663429388,667623692
832728672,836922976
708488961,712683265
1059324149,1063518453
258551094,262745398
127220657,131414961
196331784,200526088
635625196,639819500
64519666,68713970
1222809236,1227003540
173332156,177526460
738882098,743076402
793302073,797496377
1143983188,1148177492
289132728,293327032
307050352,311244656
452167730,456362034
711331540,715525844
999364927,1003559231
716483138,720677442
237846788,242041092
743448119,747642423
252860342,257054646
696655518,700849822
559669701,563864005
486799448,490993752
184536258,188730562
333740257,337934561
939046676,943240980
6176401,10370705
1209590050,1213784354
713619229,717813533
178689496,182883800
140540456,144734760
362939419,367133723
199932244,204126548
981836243,986030547
110552418,114746722
1281541850,1285736154
219269932,223464236
1121802907,1125997211
336301554,340495858
1319125962,1323320266
1045616454,1049810758
442890238,447084542
218675184,222869488
591152360,595346664
51931539,56125843
717856008,722050312
385897740,390092044
1584055115,1588249419
5000723,9195027
834569838,838764142
1740539348,1744733652
185732147,189926451
48652672,52846976
325737443,329931747
866073656,870267960
502872746,507067050
778178689,782372993
1106692124,1110886428
73727390,77921694
574871862,579066166
621082836,625277140
591534528,595728832
362738269,366932573
445427239,449621543
834782082,838976386
279366775,283561079
39810083,44004387
1052721774,1056916078
1010124193,1014318497
237641864,241836168
1647668303,1651862607
1046994356,1051188660
1940047353,1944241657
863572795,867767099
744396388,748590692
863880325,868074629
12708188,16902492
213045680,217239984
532344455,536538759
367249018,371443322
10694625,14888929
1132229479,1136423783
224108068,228302372
81944236,86138540
1026575659,1030769963
439367798,443562102
899604862,903799166
434074971,438269275
239531457,243725761
942243941,946438245
863626148,867820452
6268100,10462404
968838156,973032460
452002569,456196873
1052751577,1056945881
973090936,977285240
1222742996,1226937300
326345739,330540043
965009203,969203507
715214968,719409272
328961771,333156075
812245815,816440119
869374472,873568776
1344243496,1348437800
1229841691,1234035995
1571634955,1575829259
1503943900,1508138204
1007491719,1011686023
366229693,370423997
306759236,310953540
1206051702,1210246006
1061937664,1066131968
1433513811,1437708115
88620844,92815148
567031813,571226117
581439904,585634208
939070377,943264681
2052509183,2056703487
1190915622,1195109926
353487804,357682108
261425690,265619994
1279909840,1284104144
1753370325,1757564629
788852004,793046308
478275980,482470284
226125908,230320212
60315511,64509815
1037644033,1041838337
1474809482,1479003786
989040813,993235117
421895651,426089955
902484092,906678396
753321572,757515876
207824816,212019120
1688031976,1692226280
522636685,526830989
390135191,394329495
905364046,909558350
1422702479,1426896783
375110071,379304375
567111336,571305640
892352747,896547051
1408931767,1413126071
517887768,522082072
984651176,988845480
1945370213,1949564517
1091928219,1096122523
2006361403,2010555707
628211414,632405718
832242096,836436400
39336325,43530629
640090967,644285271
299226561,303420865
22336656,26530960
1557511922,1561706226
420025750,424220054
988095425,992289729
311244274,315438578
908842581,913036885
437000053,441194357
705867942,710062246
594960644,599154948
158268791,162463095
161366087,165560391
308047759,312242063
1376537565,1380731869
75297213,79491517
454125799,458320103
132573620,136767924
311478198,315672502
373643655,377837959
1589860110,1594054414
434399282,438593586
494493296,498687600
179074624,183268928
145827959,150022263
2053693463,2057887767
944650434,948844738
1013952736,1018147040
1021691051,1025885355
720427109,724621413
433041623,437235927
796953441,801147745
617129583,621323887
585014251,589208555
134182264,138376568
495669633,499863937
718924204,723118508
208296610,212490914
524252039,528446343
1188380245,1192574549
540910087,545104391
665542422,669736726
374507473,378701777
1844498281,1848692585
350202622,354396926
526553265,530747569
508852316,513046620
538586472,542780776
418338192,422532496
1500403188,1504597492
310251890,314446194
926997859,931192163
1603354653,1607548957
223308707,227503011
134462601,138656905
352092595,356286899
619699476,623893780
212063590,216257894
1295774651,1299968955
763476355,767670659
339015571,343209875
1572211753,1576406057
847763694,851957998
1352039817,1356234121
265740809,269935113
1243500586,1247694890
220917456,225111760
2877863,7072167
1746380190,1750574494
953859783,958054087
746333424,750527728
625630593,629824897
481413722,485608026
783981134,788175438
105550493,109744797
415636674,419830978
434412078,438606382
644407673,648601977
773131017,777325321
1174091226,1178285530
954621125,958815429
603455325,607649629
890014141,894208445
249376761,253571065
1068838952,1073033256
230997602,235191906
1286352150,1290546454
116574956,120769260
391454227,395648531
727212102,731406406
1483305931,1487500235
902900425,907094729
30803669,34997973
402917933,407112237
1096031358,1100225662
794146983,798341287
148708575,152902879
900094348,904288652
541545532,545739836
1566504022,1570698326
1117838672,1122032976
742806272,747000576
696226943,700421247
1287647394,1291841698
1517767962,1521962266
635867862,640062166
59013072,63207376
206992345,211186649
163108782,167303086
669883455,674077759
319714593,323908897
527161497,531355801
141382271,145576575
1497883479,1501677579
29817585,34011889
1391898990,1396093294
1818938173,1823132477
467347840,471542144
580465631,584659935
321516946,325711250
679141895,683336199
1021354035,1025548339
1680713292,1684907596
1045359458,1049553762
834085783,838280087
652292831,656487135
741614705,745809009
577024051,581218355
460142699,464337003
310992442,315186746
1930156505,1934350809
189645269,193839573
580326151,584520455
281475133,285669437
584046092,588240396
484852396,489046700
227768368,231962672
1603852678,1608046982
939439608,943633912
1227891477,1232085781
1753323323,1757517627
819788896,823983200
874974936,879169240
32430321,36624625
22148767,26343071
29768231,33962535
1054180074,1058374378
153129389,157323693
56329535,60523839
36043726,40238030
605779049,609973353
247260938,251455242
171002043,175196347
1520896064,1525090368
517324283,521518587
640302447,644496751
67213693,71407997
947970406,952164710
1797274868,1801469172
179094775,183289079
1766734053,1770928357
682023183,686217487
1677302348,1681496652
1406320174,1410514478
762309821,766504125
82259716,86454020
587977971,592172275
104462428,108656732
344197030,348391334
255107601,259301905
505636030,509830334
1292182927,1296377231
232161217,236355521
317289808,321484112
144167944,148362248
927223789,931418093
507523181,511717485
563477093,567671397
524020436,528214740
880207462,884401766
1856063720,1860258024
1135384865,1139579169
489162290,493356594
2025670261,2029864565
221088142,225282446
393631630,397825934
1066578735,1070773039
657143462,661337766
806530520,810724824
599939879,604134183
175802647,179996951
645979030,650173334
675735895,679930199
142339776,146534080
164240117,168434421
215577804,219772108
18672855,22867159
90573208,94767512
623824506,628018810
607444743,611639047
1475126238,1479320542
786359967,790554271
397686221,401880525
583890656,588084960
1172648080,1176842384
1963589901,1967784205
532532965,536727269
666003155,670197459
696562777,700757081
1474663190,1478857494
1970145962,1974340266
636423543,640617847
1519200450,1523394754
132895813,137090117
1062299564,1066493868
956384604,960578908
652280270,656474574
126930819,131125123
8923857,13118161
215431513,219625817
730233491,734427795
1563399833,1567594137
1273356226,1277550530
271485498,275679802
145350838,149545142
38229976,42424280
49305112,53499416
95215719,99410023
81316422,85510726
618999399,623193703
118534966,122729270
334672814,338867118
252800569,256994873
1337606273,1341800577
942720352,946914656
1297050709,1301245013
877229394,881423698
907825470,912019774
149609444,153803748
723316544,727510848
964830497,969024801
800704202,804898506
401233562,405427866
1018737595,1022931899
402929494,407123798
119248022,123442326
497118491,501312795
272824361,277018665
7915944,12110248
1603904319,1608098623
236988177,241182481
1408952953,1413147257
715447737,719642041
234494617,238688921
486484886,490679190
1176272431,1180466735
653059034,657253338
1430927839,1435122143
1036962119,1041156423
552127590,556321894
1323414902,1327609206
407043511,411237815
405635007,409829311
1048391726,1052586030
914318499,918512803
873638428,877832732
476711119,480905423
830304925,834499229
70345090,74539394
676593862,680788166
285796080,289990384
1383256819,1387451123
446001898,450196202
1215864514,1220058818
301617520,305811824
1987157180,1991351484
609804125,613998429
552140708,556335012
129564257,133758561
654503334,658697638
19078391,23272695
119527029,123721333
335470632,339664936
1299488262,1303682566
574389594,578583898
1114912844,1119107148
947302846,951497150
1653742774,1657937078
626954900,631149204
164633179,168827483
1179395346,1183589650
347243892,351438196
559161443,563355747
1145815604,1150009908
616715736,620910040
885842104,890036408
3671078,7865382
424971287,429165591
305152011,309346315
944081461,948275765
1318215656,1322409960
231088359,235282663
175105258,179299562
335204154,339398458
313062777,317257081
1649605385,1653799689
41081046,45275350
374436201,378630505
430441160,434635464
641880681,646074985
1897269467,1901463771
43129953,47324257
1114476352,1118670656
931294536,935488840
444775759,448970063
1405238202,1409432506
20677541,24871845
827759142,831953446
100497850,104692154
849136677,853330981
183658298,187852602
367260666,371454970
29882739,34077043
514817996,519012300
1135744545,1139938849
255901400,260095704
844604073,848798377
31268589,35462893
1386362935,1390557239
301108696,305303000
793214428,797408732
1247162126,1251356430
357638608,361832912
1156013924,1160208228
398509248,402703552
168720669,172914973
1498296012,1502490316
782713681,786907985
354745540,358939844
1592450152,1596644456
1154675813,1158870117
1298401253,1302595557
48396731,52591035
265568742,269763046
365461120,369655424
148977892,153172196
1789492520,1793686824
1315836727,1320031031
1495169725,1499364029
243062439,247256743
1653313113,1657507417
678884143,683078447
1645098628,1649292932
1603376079,1607570383
928026854,932221158
1531718526,1535912830
971290371,975484675
787337174,791531478
131444215,135638519
170877569,175071873
368705017,372899321
429062701,433257005
687659372,691853676
1411247738,1415442042
921942667,926136971
1578354705,1582549009
131910482,136104786
626346210,630540514
60779508,64973812
148210306,152404610
937939456,942133760
1573249508,1577443812
403434233,407628537
628825879,633020183
146206219,150400523
1774893093,1779087397
1161366263,1165560567
739456829,743651133
58114343,62308647
1310703160,1314897464
803136807,807331111
427191293,431385597
1417252971,1421447275
75260681,79454985
971217060,975411364
656671991,660866295
1187420160,1191614464
152545044,156739348
175206460,179400764
1014111528,1018305832
587764642,591958946
1139666265,1143860569
8933367,13127671
1536832918,1541027222
248846778,253041082
689201582,693395886
246539512,250733816
1252218413,1256412717
739535226,743729530
620586514,624780818
725684007,729878311
370539736,374734040
1048729130,1052923434
106464433,110658737
1527295525,1531489829
166039515,170233819
409338919,413533223
1153431974,1157626278
933535483,937729787
605130806,609325110
147572238,151766542
79464519,83658823
102435557,106629861
73238307,77432611
1158401110,1162595414
628342835,632537139
683457743,687652047
505357499,509551803
760142363,764336667
7899349,12093653
467547824,471742128
398101943,402296247
1085488594,1089682898
1229776414,1233970718
666476402,670670706
1453078579,1457272883
643279800,647474104
604893151,609087455
10757024,14951328
199684777,203879081
1309361824,1313556128
697210801,701405105
1106936467,1111130771
631010236,635204540
103047725,107242029
60535264,64729568
588092704,592287008
842920329,847114633
1161519211,1165713515
256240855,260435159
446055899,450250203
885724976,889919280
184540547,188734851
875104378,879298682
507191737,511386041
548982768,553177072
1655304087,1659498391
814134527,818328831
153528679,157722983
745108729,749303033
960787593,964981897
214575215,218769519
1216035283,1220229587
95554270,99748574
211000094,215194398
110739725,114934029
39570450,43764754
203279988,207474292
865985215,870179519
140487773,144682077
2990832,7185136
85170935,89365239
47197414,51391718
1146913558,1151107862
605617234,609811538
767334496,771528800
1482843197,1487037501
302392674,306586978
247067732,251262036
1055468072,1059662376
394842395,399036699
1298972466,1303166770
338211888,342406192
501486355,505680659
402311645,406505949
400383352,404577656
1161126521,1165320825
1592529728,1596724032
1344045126,1348239430
882711798,886906102
1339139320,1343333624
778136732,782331036
546803418,550997722
804456223,808650527
1145384132,1149578436
1210660405,1214854709
1760784849,1764979153
1430314329,1434508633
1118426608,1122620912
457216973,461411277
1361779945,1365974249
370765443,374959747
212467875,216662179
1270567338,1274761642
1271088198,1275282502
684305343,688499647
199991883,204186187
1668966326,1673160630
1195572320,1199766624
781200740,785395044
546923439,551117743
614098458,618292762
73044173,77238477
365605955,369800259
452772580,456966884
695118418,699312722
859595619,863789923
1771330681,1775524985
475335812,479530116
567252302,571446606
528344332,532538636
311980242,316174546
161461608,165655912
638046564,642240868
65751604,69945908
272595806,276790110
49890956,54085260
1500346225,1504540529
415692819,419887123
679889849,684084153
95929821,100124125
405997910,410192214
188031785,192226089
1140341837,1144536141
461414824,465609128
974943127,979137431
1949922238,1954116542
410085738,414280042
105772453,109966757
1774942382,1779136686
501828505,506022809
1094851930,1099046234
367522320,371716624
786168924,790363228
372620273,376814577
102449682,106643986
595936867,600131171
1271669,5465973
76440843,80635147
1021579885,1025774189
1157340971,1161535275
650251052,654445356
1595255140,1598556780
157067795,161262099
1189557283,1193751587
163920001,168114305
1433355078,1437549382
1243726217,1247920521
1709853540,1714047844
130147464,134341768
23028080,27222384
1051596921,1055791225
101631507,105825811
185610405,189804709
680674641,684868945
1506177900,1510372204
231754471,235948775
1541115906,1545310210
290185223,294379527
963584733,967779037
810435944,814630248
1104428921,1108623225
368712836,372907140
404839106,409033410
1529197977,1533392281
1740000451,1744194755
615086377,619280681
89776398,93970702
295725399,299919703
1953180462,1957374766
1002185378,1006379682
1101339261,1105533565
752856470,757050774
1581333875,1585528179
1336213101,1340407405
597614185,601808489
1650592800,1654787104
1562401722,1566596026
851637262,855831566
870090738,874285042
1225857027,1230051331
1161779413,1165973717
508569921,512764225
115457179,119651483
648940991,653135295
45948274,50142578
1830559270,1834753574
114144491,118338795
1506568337,1510762641
1702527136,1706721440
261507000,265701304
1415734332,1419928636
818676053,822870357
1132629495,1136823799
397677430,401871734
1606087573,1610281877
63051223,67245527
717545604,721739908
93083207,97277511
840897267,845091571
1114138932,1118333236
36975618,41169922
1695914047,1700108351
411769040,415963344
703763729,707958033
180867501,185061805
541988325,546182629
622846901,627041205
1131662675,1135856979
78921052,83115356
1788348170,1792542474
1687665915,1691860219
80368360,84562664
723337246,727531550
763886587,768080891
562227096,566421400
1601569121,1605763425
1802803491,1806997795
832453058,836647362
1348099090,1352293394
105844989,110039293
438738817,442933121
271466978,275661282
407270253,411464557
1562720761,1566915065
627062275,631256579
1337260530,1341454834
439292533,443486837
1266580420,1270774724
441880452,446074756
693724525,697918829
127183985,131378289
722371532,726565836
1184053651,1188247955
56981467,61175771
199311465,203505769
1349871115,1354065419
463973349,468167653
1473112460,1477306764
163215028,167409332
1839534747,1843729051
861475200,865669504
565723962,569918266
29150929,33345233
995015248,999209552
78083510,82277814
476264910,480459214
575747601,579941905
773847422,778041726
63084023,67278327
1220048274,1224242578
607470930,611665234
1096717168,1100911472
13540406,17734710
970811451,975005755
574016413,578210717
1793482952,1797677256
904702092,908896396
281721420,285915724
152890334,157084638
1400180556,1404374860
737269205,741463509
904598401,908792705
922383601,926577905
666440548,670634852
199682192,203876496
712465274,716659578
180896912,185091216
118901813,123096117
914785343,918979647
1080610409,1084804713
514732241,518926545
72036158,76230462
1696631269,1700825573
576078018,580272322
1379873719,1384068023
201327151,205521455
649072263,653266567
126857540,131051844
876774825,880969129
550686104,554880408
96192093,100386397
1341633584,1345827888
619603627,623797931
218803992,222998296
847988212,852182516
619872864,624067168
1813719798,1817914102
1090417835,1094612139
940277938,944472242
67831939,72026243
1182885968,1187080272
1303403629,1307597933
256389934,260584238
331552323,335746627
210904438,215098742
529692237,533886541
1437828974,1442023278
2034863323,2039057627
249326829,253521133
303774755,307969059
67232204,71426508
451247716,455442020
558618496,562812800
1671221755,1675416059
1479354978,1483549282
91897211,96091515
661251268,665445572
1157501189,1161695493
1067047873,1071242177
1804881264,1809075568
244143667,248337971
393514001,397708305
611075631,615269935
997108701,1001303005
304608036,308802340
747325189,751519493
86980801,91175105
1135956250,1140150554
525658592,529852896
824069794,828264098
497506088,501700392
1535589107,1539783411
1239058073,1243252377
198195082,202389386
1469547198,1473741502
1355609714,1359804018
1353365660,1357559964
1965810115,1970004419
202336378,206530682
409000464,413194768
820001859,824196163
268696389,272890693
1711322031,1715516335
108254125,112448429
22773483,26967787
3150815,7345119
586760776,590955080
1171131299,1175325603
1697091385,1701285689
672924625,677118929
1035931238,1040125542
1656351014,1660545318
638672001,642866305
303778430,307972734
1339806868,1344001172
963881649,968075953
996043819,1000238123
31205037,35399341
757248104,761442408
671435354,675629658
149477998,153672302
545185168,549379472
1983665941,1987860245
56501580,60695884
393648346,397842650
162310225,166504529
51171236,55365540
254745845,258940149
1111683333,1115877637
35792354,39986658
1277366974,1281561278
380257019,384451323
329731851,333926155
1585404329,1589598633
291997030,296191334
1033841846,1038036150
552547975,556742279
23515096,27709400
4343202,8537506
225790984,229985288
318523822,322718126
160880764,165075068
1055669855,1059864159
782180166,786374470
821236551,825430855
10179991,14374295
1103966260,1108160564
470746710,474941014
448623686,452817990
737709139,741903443
1341618601,1345812905
672815794,677010098
425440652,429634956
685248360,689442664
632016418,636210722
939202638,943396942
1316780193,1320974497
1210641565,1214835869
524646165,528840469
127258226,131452530
1178033248,1182227552
602763345,606957649
80392570,84586874
1139902777,1144097081
807264702,811459006
1081734103,1085928407
934995409,939189713
324559173,328753477
1114595258,1118789562
405585562,409779866
266772010,270966314
122689569,126883873
881914020,886108324
1774914521,1779108825
1237086784,1241281088
6817108,11011412
958479914,962674218
1889483354,1893677658
271961143,276155447
1153281835,1157476139
1449096629,1453290933
1340597048,1344791352
387532406,391726710
1145757923,1149952227
505409736,509604040
506284709,510479013
767402806,771597110
944980229,949174533
30487715,34682019
369991235,374185539
155291258,159485562
84161894,88356198
686509522,690703826
189393878,193588182
520092345,524286649
886141865,890336169
545370958,549565262
1336496781,1340691085
1265611836,1269806140
1037338085,1041532389
1072328632,1076522936
1970176942,1974371246
189529696,193724000
1235065832,1239260136
9184005,13378309
1528086946,1532281250
800935177,805129481
362812309,367006613
215632536,219826840
314850605,319044909
30426911,34621215
403011570,407205874
1227407025,1231601329
335232396,339426700
252489874,256684178
50451596,54645900
300135053,304329357
566544494,570738798
1488839084,1493033388
1660728303,1664922607
1755144156,1759338460
307669168,311863472
658611782,662806086
181820507,186014811
435179236,439373540
247775610,251969914
683131225,687325529
477319319,481513623
1739194969,1743389273
47250731,51445035
18816364,23010668
384706056,388900360
637783097,641977401
506027642,510221946
1271300725,1275495029
244983251,249177555
346012849,350207153
1088383064,1092577368
770055252,774249556
1479301730,1483496034
565869384,570063688
451321108,455515412
74541545,78735849
415280847,419475151
17174242,21368546
708416630,712610934
116044824,120239128
13001211,17195515
601967400,606161704
1277176229,1281370533
356544190,360738494
171203199,175397503
290595376,294789680
74544881,78739185
67282932,71477236
603683347,607877651
1050178341,1054372645
1476748174,1480942478
1550149703,1554344007
62290808,66485112
75699720,79894024
1864694855,1868889159
25848442,30042746
301378684,305572988
1421454327,1425648631
723878189,728072493
1374896796,1379091100
212168798,216363102
116794146,120988450
500386765,504581069
1798860518,1803054822
1051830194,1056024498
838069951,842264255
37379199,41573503
4723273,8917577
292021832,296216136
620763845,624958149
401600554,405794858
1242922819,1247117123
578699042,582893346
1030993728,1035188032
1108269540,1112463844
465778636,469972940
74300865,78495169
955170260,959364564
670709491,674903795
1742875693,1747069997
452835048,457029352
345701931,349896235
599284876,603479180
41006505,45200809
626869612,631063916
332315248,336509552
1556902231,1561096535
